                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.3016,                0.67236,                 1.8855,                0.98439,                0.98604,                0.99174,                0.89722,                 1.0419,                0.42555,                 1.7851,              0.0066003,              0.0066003,              0.0066003
                     36,                 1.2972,                 0.6587,                 1.8841,                0.98458,                0.98586,                0.99245,                0.89977,                 1.0315,                0.41847,                 1.7813,              0.0065004,              0.0065004,              0.0065004
                     37,                  1.292,                0.65483,                 1.8937,                0.98335,                0.98429,                0.99172,                0.89869,                 1.0383,                0.43488,                 1.7825,              0.0064004,              0.0064004,              0.0064004
                     38,                 1.2805,                0.65561,                 1.8784,                0.98582,                0.98386,                0.99243,                0.90392,                 1.0282,                0.41561,                 1.7833,              0.0063004,              0.0063004,              0.0063004
                     39,                 1.2743,                0.65284,                 1.8823,                0.98601,                0.98658,                0.99216,                0.90294,                 1.0255,                0.41551,                 1.7771,              0.0062004,              0.0062004,              0.0062004
                     40,                 1.2564,                0.63373,                 1.8724,                0.98696,                0.98482,                0.99242,                0.90446,                 1.0221,                0.41453,                  1.782,              0.0061004,              0.0061004,              0.0061004
                     41,                  1.262,                0.63882,                 1.8767,                0.98968,                0.98582,                0.99286,                0.90468,                 1.0161,                0.40817,                 1.7772,              0.0060004,              0.0060004,              0.0060004
                     42,                 1.2545,                0.63454,                 1.8724,                0.98577,                0.98627,                0.99229,                0.90476,                 1.0146,                0.40811,                 1.7731,              0.0059004,              0.0059004,              0.0059004
                     43,                 1.2467,                0.62519,                 1.8679,                0.98647,                0.98527,                0.99297,                0.90698,                   1.01,                0.40639,                 1.7733,              0.0058004,              0.0058004,              0.0058004
                     44,                 1.2413,                0.61998,                 1.8676,                0.98842,                0.98504,                0.99247,                0.90528,                 1.0227,                0.41408,                 1.7799,              0.0057004,              0.0057004,              0.0057004
                     45,                 1.2387,                0.62006,                 1.8667,                0.98841,                0.98634,                0.99234,                0.90805,                  1.005,                0.40028,                 1.7693,              0.0056004,              0.0056004,              0.0056004
                     46,                 1.2373,                0.61455,                 1.8652,                0.98945,                0.98735,                0.99276,                0.90709,                 0.9954,                0.39852,                 1.7679,              0.0055005,              0.0055005,              0.0055005
                     47,                 1.2248,                0.60572,                 1.8621,                 0.9874,                0.98739,                0.99253,                0.90953,                0.99279,                0.39994,                 1.7671,              0.0054005,              0.0054005,              0.0054005
                     48,                 1.2196,                0.60818,                 1.8611,                0.98728,                0.98765,                0.99226,                0.91003,                0.99347,                0.39759,                 1.7652,              0.0053005,              0.0053005,              0.0053005
                     49,                 1.2107,                0.60385,                 1.8524,                0.98732,                0.98542,                0.99262,                0.90872,                0.99642,                0.39724,                 1.7691,              0.0052005,              0.0052005,              0.0052005
                     50,                  1.204,                0.60313,                 1.8558,                0.98908,                0.98817,                0.99239,                0.91054,                0.98625,                0.38827,                 1.7688,              0.0051005,              0.0051005,              0.0051005
                     51,                 1.2031,                0.60016,                 1.8565,                0.99013,                0.98538,                0.99249,                0.91275,                0.99125,                0.39382,                   1.77,              0.0050005,              0.0050005,              0.0050005
                     52,                 1.2051,                0.59062,                 1.8491,                0.98886,                0.98754,                0.99259,                0.91312,                0.99006,                0.38612,                 1.7671,              0.0049005,              0.0049005,              0.0049005
                     53,                 1.1835,                0.58544,                  1.847,                0.98817,                0.98822,                0.99265,                0.91206,                0.98245,                0.38709,                 1.7655,              0.0048005,              0.0048005,              0.0048005
                     54,                  1.183,                0.58798,                  1.845,                 0.9871,                0.98887,                0.99316,                 0.9131,                0.97018,                0.38197,                  1.759,              0.0047005,              0.0047005,              0.0047005
                     55,                 1.1842,                0.57187,                  1.848,                0.98565,                0.98904,                0.99291,                0.90968,                0.96887,                0.38946,                 1.7611,              0.0046005,              0.0046005,              0.0046005
                     56,                 1.1746,                0.57497,                 1.8426,                 0.9902,                0.98875,                0.99287,                0.91435,                0.97848,                0.38106,                 1.7643,              0.0045005,              0.0045005,              0.0045005
                     57,                 1.1611,                 0.5801,                 1.8407,                0.98926,                0.99018,                0.99305,                0.91499,                0.97472,                0.38062,                 1.7611,              0.0044006,              0.0044006,              0.0044006
                     58,                 1.1717,                0.57354,                 1.8422,                0.98835,                0.98997,                0.99267,                0.91447,                0.97451,                0.38181,                 1.7627,              0.0043006,              0.0043006,              0.0043006
                     59,                 1.1542,                0.56533,                 1.8353,                0.98869,                0.98844,                0.99254,                0.91648,                0.96851,                0.38009,                 1.7611,              0.0042006,              0.0042006,              0.0042006
                     60,                  1.156,                0.56268,                 1.8348,                0.99044,                0.98719,                0.99291,                 0.9173,                0.96015,                0.38194,                 1.7589,              0.0041006,              0.0041006,              0.0041006
                     61,                 1.1573,                0.56396,                 1.8402,                0.98834,                 0.9904,                0.99294,                0.91538,                0.96359,                0.37917,                 1.7608,              0.0040006,              0.0040006,              0.0040006
                     62,                 1.1454,                0.55859,                 1.8408,                0.98921,                0.98831,                0.99288,                0.91713,                0.96122,                 0.3784,                 1.7593,              0.0039006,              0.0039006,              0.0039006
                     63,                  1.139,                 0.5501,                 1.8284,                0.98942,                0.98866,                0.99299,                0.91742,                0.96307,                0.37705,                 1.7588,              0.0038006,              0.0038006,              0.0038006
                     64,                 1.1326,                0.55408,                 1.8278,                0.98846,                0.98966,                0.99311,                 0.9161,                 0.9626,                0.37625,                 1.7567,              0.0037006,              0.0037006,              0.0037006
                     65,                 1.1299,                0.54731,                 1.8262,                0.99051,                0.98887,                0.99303,                0.91772,                0.95924,                0.37136,                 1.7574,              0.0036006,              0.0036006,              0.0036006
                     66,                 1.1254,                0.54857,                 1.8257,                0.99063,                0.98989,                0.99318,                0.91802,                0.95978,                0.37347,                  1.758,              0.0035006,              0.0035006,              0.0035006
                     67,                 1.1292,                0.55647,                 1.8289,                0.99069,                0.99018,                 0.9933,                0.91836,                0.95492,                0.37286,                 1.7576,              0.0034007,              0.0034007,              0.0034007
                     68,                 1.1164,                0.54386,                 1.8211,                0.98931,                0.98954,                0.99307,                0.91831,                0.95434,                0.37356,                 1.7573,              0.0033007,              0.0033007,              0.0033007
                     69,                 1.1094,                0.54062,                 1.8228,                0.98932,                0.98977,                0.99315,                 0.9195,                0.95108,                0.37449,                 1.7557,              0.0032007,              0.0032007,              0.0032007
                     70,                 1.1027,                0.53858,                 1.8157,                0.99048,                0.98887,                0.99297,                0.91983,                 0.9519,                0.37498,                  1.756,              0.0031007,              0.0031007,              0.0031007
                     71,                 1.1056,                0.53161,                 1.8175,                0.99124,                0.98765,                0.99282,                0.92034,                0.95021,                 0.3737,                  1.757,              0.0030007,              0.0030007,              0.0030007
                     72,                 1.0973,                0.53097,                 1.8168,                  0.991,                0.98886,                0.99293,                0.92039,                0.94655,                0.37312,                  1.755,              0.0029007,              0.0029007,              0.0029007
                     73,                 1.0872,                0.52622,                 1.8138,                0.98996,                0.98931,                0.99299,                0.91987,                0.94879,                0.37698,                 1.7558,              0.0028007,              0.0028007,              0.0028007
                     74,                 1.0847,                0.52373,                 1.8191,                0.99019,                0.99118,                0.99322,                 0.9206,                0.95043,                0.37259,                  1.757,              0.0027007,              0.0027007,              0.0027007
                     75,                  1.077,                0.52476,                 1.8101,                0.99062,                0.99028,                0.99304,                0.92054,                0.94957,                0.37557,                 1.7569,              0.0026007,              0.0026007,              0.0026007
                     76,                 1.0625,                0.51769,                  1.802,                0.98997,                0.99026,                  0.993,                0.91979,                0.94742,                 0.3752,                 1.7559,              0.0025007,              0.0025007,              0.0025007
                     77,                 1.0633,                0.50693,                 1.8055,                0.99039,                0.98852,                 0.9929,                0.92156,                0.94569,                0.37345,                 1.7546,              0.0024008,              0.0024008,              0.0024008
                     78,                 1.0654,                0.51265,                 1.8088,                 0.9904,                0.99061,                0.99283,                0.92147,                0.94356,                0.37079,                 1.7537,              0.0023008,              0.0023008,              0.0023008
                     79,                 1.0535,                0.51096,                 1.8047,                0.99212,                0.98904,                0.99294,                0.92201,                0.94117,                 0.3683,                 1.7532,              0.0022008,              0.0022008,              0.0022008
                     80,                 1.0505,                0.50707,                 1.7989,                0.98947,                0.99075,                0.99288,                0.92219,                0.94002,                0.36983,                 1.7518,              0.0021008,              0.0021008,              0.0021008
                     81,                 1.0428,                 0.4995,                 1.7962,                0.99141,                0.99096,                0.99284,                0.92231,                0.94112,                0.36978,                 1.7516,              0.0020008,              0.0020008,              0.0020008
                     82,                 1.0378,                0.49348,                 1.7934,                0.98946,                0.99201,                0.99287,                0.92168,                0.94154,                0.37011,                 1.7521,              0.0019008,              0.0019008,              0.0019008
                     83,                 1.0292,                0.49475,                 1.7924,                0.98911,                0.99103,                0.99291,                0.92226,                0.94121,                0.37069,                  1.752,              0.0018008,              0.0018008,              0.0018008
                     84,                 1.0274,                0.49126,                 1.7957,                0.99041,                0.99166,                0.99292,                0.92194,                0.94107,                0.37084,                  1.752,              0.0017008,              0.0017008,              0.0017008
                     85,                 1.0123,                0.48206,                 1.7843,                0.98968,                0.99144,                  0.993,                0.92201,                0.94159,                0.37117,                 1.7523,              0.0016008,              0.0016008,              0.0016008
                     86,                 1.0208,                0.49161,                 1.7986,                0.99064,                0.98997,                0.99302,                0.92137,                0.94216,                0.37018,                  1.753,              0.0015009,              0.0015009,              0.0015009
                     87,                 1.0126,                 0.4809,                 1.7852,                0.98916,                0.99124,                0.99281,                0.92138,                0.94218,                0.36846,                 1.7537,              0.0014009,              0.0014009,              0.0014009
                     88,                 1.0086,                0.47685,                 1.7905,                0.98805,                 0.9912,                0.99308,                0.92183,                0.94154,                  0.369,                 1.7542,              0.0013009,              0.0013009,              0.0013009
                     89,                0.99525,                0.47883,                 1.7857,                0.99057,                0.99035,                0.99319,                 0.9223,                0.94117,                0.36829,                 1.7545,              0.0012009,              0.0012009,              0.0012009
                     90,                0.99903,                0.47414,                 1.7795,                 0.9912,                0.98952,                0.99275,                0.92117,                0.94071,                0.36963,                 1.7547,              0.0011009,              0.0011009,              0.0011009
                     91,                0.78198,                0.31579,                 1.6667,                 0.9917,                0.99021,                0.99283,                0.92129,                0.94117,                0.36927,                 1.7551,              0.0010009,              0.0010009,              0.0010009
                     92,                0.77094,                0.31008,                 1.6627,                0.99075,                0.99174,                0.99287,                0.92138,                0.93979,                0.36758,                 1.7554,             0.00090091,             0.00090091,             0.00090091
                     93,                0.76215,                0.30541,                 1.6613,                0.99032,                0.99158,                0.99291,                0.92224,                0.93935,                0.36819,                 1.7549,             0.00080092,             0.00080092,             0.00080092
                     94,                0.74992,                0.30171,                 1.6576,                0.99079,                0.99075,                0.99289,                 0.9218,                0.93859,                0.36812,                  1.755,             0.00070093,             0.00070093,             0.00070093
                     95,                0.74296,                0.30133,                 1.6524,                0.99079,                 0.9905,                0.99291,                0.92219,                0.93763,                0.36888,                 1.7549,             0.00060094,             0.00060094,             0.00060094
                     96,                0.73617,                0.29597,                 1.6468,                0.99199,                0.98997,                0.99286,                0.92185,                0.93793,                0.36771,                 1.7554,             0.00050095,             0.00050095,             0.00050095
                     97,                0.73118,                0.29342,                 1.6471,                0.99169,                0.99057,                0.99282,                0.92257,                0.93711,                 0.3678,                 1.7552,             0.00040096,             0.00040096,             0.00040096
                     98,                0.72743,                0.29087,                 1.6483,                0.99145,                0.99161,                0.99279,                 0.9224,                0.93711,                0.36691,                 1.7557,             0.00030097,             0.00030097,             0.00030097
                     99,                0.71998,                 0.2896,                 1.6457,                0.99216,                0.98866,                0.99281,                0.92214,                 0.9368,                0.36841,                 1.7559,             0.00020098,             0.00020098,             0.00020098
                    100,                0.71175,                0.28303,                 1.6407,                 0.9914,                0.99093,                0.99287,                0.92233,                0.93706,                0.36941,                 1.7563,             0.00010099,             0.00010099,             0.00010099
