,Confidence Score
count,9759.0
mean,0.4566211422708926
std,0.10177370432328157
min,0.20008409023284912
25%,0.41558629274368286
50%,0.4849850535392761
75%,0.5259512662887573
max,0.6649689078330994
range,0.46488481760025024
median,0.4849850535392761
mode,0.4687417447566986
